review_id,rating,date,author,content,raw_html,clean,tokens,categories,sent_score,date_parsed
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""451660"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/451660/20250817204116584_b5c899e4.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""451195"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/451195/20250817145904253_737b5d38.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""450862"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/450862/20250817092823825_1b3d547a.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                                <div class=""etc-info"">
                                                                    <span class=""count""><span class=""blind"">등록한 포토/동영상 리뷰 개수</span>3</span>
                                                                </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""450712"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/450712/20250816235829677_8de6af32.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                                <div class=""etc-info"">
                                                                    <span class=""count""><span class=""blind"">등록한 포토/동영상 리뷰 개수</span>3</span>
                                                                </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""photoVideo"" data-review-id=""448491"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/448491/20250815003247216_ec58156b.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                        <!-- slide -->
                                        <div class=""slide-conts ui_carousel_slide"">
                                            <a href=""#"" data-control=""modal"" class=""item"" onclick=""javascript:reviewLayer.reviewPhotoVideoLayer(this)"" data-view-type=""photoVideo"" data-review-id=""448109"" data-model-id=""MD10521837"" title=""포토/동영상 리뷰 레이어 팝업 실행"" data-model-displayname=""LG 그램 Pro AI 40.6cm""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품, 가전구독, UP가전2.0 : title 추가-->
                                                <div class=""thumb-wrap"">
                                                    
                                                        
                                                        
                                                            <div class=""thumb"">
                                                                <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/448109/20250814175844297_68db2e27.jpg?aw=1&amp;ah=1&amp;rw=132&amp;rh=132"" alt="""">
                                                            </div>
                                                            
                                                                <div class=""etc-info"">
                                                                    <span class=""count""><span class=""blind"">등록한 포토/동영상 리뷰 개수</span>2</span>
                                                                </div>
                                                            
                                                        
                                                    
                                                </div>
                                            </a>
                                        </div>
                                        <!-- //slide -->
                                    
                                </div>
                            </div>
                        </div>
                    </div>
                

                <div class=""rv-view-section"">
                    <div class=""rv-title-wrap"">
                        <h3 class=""rv-sub-title"">전체 리뷰
                            
                                <span class=""info-txt""><strong>3</strong>개의 구독 리뷰가 있어요.</span> <!-- [BTOCSITE-83305] 구독 리뷰 활성화-->
                            
                        </h3>
                        <div class=""rv-filter-wrap"">
                            <div class=""sort-select-wrap"">
