,뉴스제목,뉴스링크
89,"법 고치고 쓸어담고…""中, 광물 안보전 준비 만반""",https://zdnet.co.kr//view/?no=20250713140835
90,"스리랑카 공무원, 한국서 정부혁신과 디지털 행정서비스 배운다",https://zdnet.co.kr//view/?no=20250713143450
91,"모바일 신분증, 신한·우리·하나·IBK 합류…총 10개 앱으로 확대",https://zdnet.co.kr//view/?no=20250713142114
92,"산업현장도 AI 가속...포스코그룹, AWS와 제조현장 자동화 본격화",https://zdnet.co.kr//view/?no=20250713141103
93,10대들을 백만장자로…놀면서 돈 버는 이 게임은?,https://zdnet.co.kr//view/?no=20250713135756
94,"다쏘시스템, '버추얼 트윈' 제조업 강화…아스콘 큐브 기술 통합",https://zdnet.co.kr//view/?no=20250713125701
95,[ZD브리핑] 이재명정부 초대장관 릴레이 청문...삼성물산 합병 대법원 선고,https://zdnet.co.kr//view/?no=20250713130444
96,"홍수·폭염·산불…전 세계 9천개 데이터센터, 절반 이상 고위험군",https://zdnet.co.kr//view/?no=20250713123953
97,AI 인재에 1천억 베팅한 메타…음성 스타트업 '플레이AI' 품었다,https://zdnet.co.kr//view/?no=20250713120535
98,"""로봇, 미래 직장 동료될것""…현대차, 글로벌 기업과  '로봇-AI 시대' HR 역할 논의",https://zdnet.co.kr//view/?no=20250713123721
99,"현대차·기아·제네시스, 여름 특별 무상점검 실시",https://zdnet.co.kr//view/?no=20250713122813
100,수소연료전지 촉매 상온서 합성 성공…초음파 만으로 성능 7배· 수명 4.2배↑,https://zdnet.co.kr//view/?no=20250711171955
101,"눈 건강기능식품 원료 '루테인', 포도당서 대량 생산 성공",https://zdnet.co.kr//view/?no=20250711144343
102,여름휴가 양극화...대기업 5일·중소기업 3일,https://zdnet.co.kr//view/?no=20250713100135
103,"""고정밀 지도 반출, 정보주권·안보·산업 보호 고려해야""",https://zdnet.co.kr//view/?no=20250713100745
104,"'33조' 판매한 아마존 프라임데이, 美 소매업체 온라인 소비 30% 신장",https://zdnet.co.kr//view/?no=20250711092835
105,"글로벌 웹툰 전쟁, 네이버는 '확장' 카카오는 '선택과 집중'",https://zdnet.co.kr//view/?no=20250711172900
106,"""경쟁사와도 협력""···소프트캠프-마크애니, 하이브리드 보안 '맞손'",https://zdnet.co.kr//view/?no=20250713112842
107,"세계 최대 로봇대회 로보컵, 15일 브라질서 개막",https://zdnet.co.kr//view/?no=20250713104548
108,"""사용자 의도 파악""...삼성 차세대 AI 전략보니",https://zdnet.co.kr//view/?no=20250713090415
109,"""보양식 구매 적기""…SSG닷컴, 4일간 '푸드 쓱세일' 진행",https://zdnet.co.kr//view/?no=20250713101532
110,"갤럭시 쥔 딜런 에프론, 뉴욕 한복판 등장",https://zdnet.co.kr//view/?no=20250713100958
111,"그래피티 그리고 셀피 찍고…삼성, 뉴욕 갤럭시 체험존 운영",https://zdnet.co.kr//view/?no=20250713094544
112,"LG전자, 70만 '집덕후'들 취향 더 많은 고객과 나눈다",https://zdnet.co.kr//view/?no=20250713091144
113,"SKT, 8월 한달 스벅 1잔 공짜...파리바게뜨·도미노피자 50% 할인",https://zdnet.co.kr//view/?no=20250713093206
114,비트코인 전주대비 8.5% 상승...XRP·도지코인 '급등',https://zdnet.co.kr//view/?no=20250713093126
115,"NHN '다키스트 데이즈', 실시간 개발 소통…로드맵 투명 공개로 '신뢰도↑'",https://zdnet.co.kr//view/?no=20250713085021
116,"""가성비 있게 몸보신 하자""…CU, 장어·오리 활용 보양식 출시",https://zdnet.co.kr//view/?no=20250713083826
117,"신상품 직접 만든다…이마트24, 대학생 MD서포터즈 '편슐랭스타' 모집",https://zdnet.co.kr//view/?no=20250713082251
118,"삼성전자, 신제품 체험 '갤럭시 스튜디오' 더현대 서울서 오픈",https://zdnet.co.kr//view/?no=20250713090436
119,"하인즈 케찹 빼고 다 뗀다…크래프트 하인즈, 분할 추진",https://zdnet.co.kr//view/?no=20250713075820
120,"티빙, 윔블던 챔피언십 남자단식 결승 생중계",https://zdnet.co.kr//view/?no=20250713090341
121,스마트워치 '수면 측정' 믿고 써도 될까,https://zdnet.co.kr//view/?no=20250713090214
122,전기·통신 사용량으로 1인가구 고독사 살핀다,https://zdnet.co.kr//view/?no=20250713032855
123,韓 유학·취업하는 외국인 타깃 기업 간 협력 활발,https://zdnet.co.kr//view/?no=20250711102619
124,"세븐일레븐, 뉴웨이브종각점 문 연다…차세대 콘셉트 확장",https://zdnet.co.kr//view/?no=20250713083002
125,"차바이오, 내년 축구장 9개 크기 세포·유전자치료제 시설 문 연다",https://zdnet.co.kr//view/?no=20250711172835
126,"""아이폰16이 공짜요?""...위약금 면제 막판에 보조금 전쟁 터졌다",https://zdnet.co.kr//view/?no=20250712203123
127,트럼프 관세에 몸살 앓는 완성차…가격인상에 감축 '이중고',https://zdnet.co.kr//view/?no=20250713012555
128,"속도조절 들어간 중국, 전기차 옥석 가려진다",https://zdnet.co.kr//view/?no=20250713015006
129,"[써보고서] 업스테이지 '솔라 프로 2' 써보니…韓 AI 모델, 어디까지 왔나",https://zdnet.co.kr//view/?no=20250712215852
130,"모두의연구소, 탑티어 AI 논문 70편 돌파…""민간 지원만으로 해냈다""",https://zdnet.co.kr//view/?no=20250712223544
131,"구리 관세의 역습, 반도체 산업 흔들다",https://zdnet.co.kr//view/?no=20250712010216
132,"에어컨 판매 3배…롯데하이마트, 쿨링가전 할인전",https://zdnet.co.kr//view/?no=20250712205118
133,올해 스마트폰 생산량 1% 감소 전망…인도·베트남만 성장세,https://zdnet.co.kr//view/?no=20250712204239
134,"틱톡, 트와이스 정규앨범 발매 기념 글로벌 캠페인 전개",https://zdnet.co.kr//view/?no=20250711172526
135,"디지털소사이어티, 스타트업 육성 전략 개선 논의",https://zdnet.co.kr//view/?no=20250712173024
136,"이재명 대통령 ""민생회복 소비쿠폰, 골목상권 온기 기대""",https://zdnet.co.kr//view/?no=20250712171837
137,"[현장] 정보보호 루키 밋업데이...""기술보다 소통하고 협력하라""",https://zdnet.co.kr//view/?no=20250712165559
138,"클럽월드컵 14일 결승 '첼시 vs PSG', 쿠팡플레이 생중계",https://zdnet.co.kr//view/?no=20250712145544
139,"日, 반도체 패키징 경쟁력 확보 시동…30여개 기업 손 잡았다",https://zdnet.co.kr//view/?no=20250711133803
140,"중국군 ""휴머노이드 로봇, 무차별 살인 가능"" 경고",https://zdnet.co.kr//view/?no=20250712071124
