rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,year
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익,제 16 기,2017.01.01 ~ 2017.12.31,"1,869,518,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"249,143,000,000",29,KRW,2017
20180402003670,11011,2017,00401731,066570,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 16 기,2017.01.01 ~ 2017.12.31,"1,869,518,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"126,315,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"249,143,000,000",61,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,유동자산,제 16 기,2017.12.31 현재,"9,515,895,000,000",제 15 기,2016.12.31 현재,"8,311,565,000,000",제 14 기,2015.12.31 현재,"8,268,810,000,000",2,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,비유동자산,제 16 기,2017.12.31 현재,"18,643,886,000,000",제 15 기,2016.12.31 현재,"18,287,510,000,000",제 14 기,2015.12.31 현재,"17,597,565,000,000",4,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,자산총계,제 16 기,2017.12.31 현재,"28,159,781,000,000",제 15 기,2016.12.31 현재,"26,599,075,000,000",제 14 기,2015.12.31 현재,"25,866,375,000,000",6,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,유동부채,제 16 기,2017.12.31 현재,"11,475,924,000,000",제 15 기,2016.12.31 현재,"10,543,126,000,000",제 14 기,2015.12.31 현재,"9,743,462,000,000",8,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,비유동부채,제 16 기,2017.12.31 현재,"7,139,000,000,000",제 15 기,2016.12.31 현재,"7,290,497,000,000",제 14 기,2015.12.31 현재,"7,161,904,000,000",10,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,부채총계,제 16 기,2017.12.31 현재,"18,614,924,000,000",제 15 기,2016.12.31 현재,"17,833,623,000,000",제 14 기,2015.12.31 현재,"16,905,366,000,000",12,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,자본금,제 16 기,2017.12.31 현재,"904,169,000,000",제 15 기,2016.12.31 현재,"904,169,000,000",제 14 기,2015.12.31 현재,"904,169,000,000",15,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,이익잉여금,제 16 기,2017.12.31 현재,"5,602,967,000,000",제 15 기,2016.12.31 현재,"4,851,573,000,000",제 14 기,2015.12.31 현재,"5,046,104,000,000",19,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,BS,재무상태표,자본총계,제 16 기,2017.12.31 현재,"9,544,857,000,000",제 15 기,2016.12.31 현재,"8,765,452,000,000",제 14 기,2015.12.31 현재,"8,961,009,000,000",22,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,IS,손익계산서,매출액,제 16 기,2017.01.01 ~ 2017.12.31,"31,966,513,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"28,743,246,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"28,368,428,000,000",24,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,IS,손익계산서,영업이익,제 16 기,2017.01.01 ~ 2017.12.31,"701,226,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"-290,455,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-17,537,000,000",26,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 16 기,2017.01.01 ~ 2017.12.31,"772,493,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"-174,220,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-265,823,000,000",28,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익,제 16 기,2017.01.01 ~ 2017.12.31,"758,046,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"-276,487,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",30,KRW,2017
20180402003670,11011,2017,00401731,066570,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 16 기,2017.01.01 ~ 2017.12.31,"758,046,000,000",제 15 기,2016.01.01 ~ 2016.12.31,"-276,487,000,000",제 14 기,2015.01.01 ~ 2015.12.31,"-355,839,000,000",62,KRW,2017
